stock_name,Index
ACC,1
ADANIENT,2
ADANIGREEN,3
ADANIPORTS,4
AMBUJACEM,5
APOLLOHOSP,6
ASIANPAINT,7
AUROPHARMA,8
AXISBANK,9
BAJAJ-AUTO,10
BAJAJFINSV,11
BAJAJHLDNG,12
BAJFINANCE,13
BANDHANBNK,14
BANKBARODA     ,15
BERGEPAINT,16
BHARTIARTL,17
BIOCON,18
BOSCHLTD,19
BPCL,20
BRITANNIA,21
CADILAHC,22
CHOLAFIN,23
CIPLA,24
COALINDIA,25
COLPAL,26
DABUR,27
DIVISLAB,28
DLF,29
DMART,30
DRREDDY,31
EICHERMOT,32
GAIL,33
GLAND,34
GODREJCP,35
GRASIM,36
HAVELLS,37
HCLTECH,38
HDFC,39
HDFCAMC,40
HDFCBANK,41
HDFCLIFE,42
HEROMOTOCO,43
HINDALCO,44
HINDPETRO,45
HINDUNILVR,46
ICICIBANK,47
ICICIGI,48
ICICIPRULI,49
IGL,50
INDIGO,51
INDUSINDBK,52
INDUSTOWER,53
INFY,54
IOC,55
ITC,56
JINDALSTEL,57
JSWSTEEL,58
JUBLFOOD,59
KOTAKBANK,60
LT,61
LTI,62
LUPIN,63
M_M,64
MARICO,65
MARUTI,66
MCDOWELL-N,67
MUTHOOTFIN,68
NAUKRI,69
NESTLEIND,70
NIFTY 50,71
NIFTY BANK,72
NMDC,73
NTPC,74
ONGC,75
PEL,76
PGHH,77
PIDILITIND,78
PIIND,79
PNB,80
POWERGRID,81
RELIANCE,82
SAIL,83
SBICARD,84
SBILIFE,85
SBIN,86
SHREECEM,87
SIEMENS,88
SUNPHARMA,89
TATACONSUM,90
TATAMOTORS,91
TATASTEEL,92
TCS,93
TECHM,94
TITAN,95
TORNTPHARM,96
ULTRACEMCO,97
UPL,98
VEDL,99
WIPRO,100
YESBANK,101
